contigName	contigLen	totalAvgDepth	SRR24442552_sub_sorted.bam	SRR24442552_sub_sorted.bam-var
k141_4179	1600	4.60414	4.60414	4.23657
k141_2099	1686	5.26237	5.26237	8.86328
k141_20	2354	3.46869	3.46869	1.95771
k141_2100	332	2.35165	2.35165	0.450246
k141_21	379	0.707424	0.707424	0.207883
k141_4180	1384	4.79822	4.79822	3.99252
k141_4181	497	4.72911	4.72911	1.34837
k141_22	1167	3.9174	3.9174	3.6349
k141_4182	306	1.26282	1.26282	0.194996
k141_23	453	2.91089	2.91089	0.929119
k141_6259	2856	5.29084	5.29084	4.45404
k141_4183	408	1.46512	1.46512	0.46765
k141_4184	407	2.74708	2.74708	1.27563
k141_6260	719	4.77856	4.77856	2.98258
k141_4185	371	2.61991	2.61991	0.345783
k141_6261	521	1.89218	1.89218	0.799157
k141_24	1238	4.00551	4.00551	3.20144
k141_4186	399	4.22088	4.22088	0.850206
k141_25	441	1.5567	1.5567	0.247636
k141_6262	754	5.08113	5.08113	3.33172
k141_6263	315	4.01212	4.01212	0.597414
k141_4187	1646	5.53008	5.53008	2.94757
k141_26	1751	5.81074	5.81074	3.92104
k141_6264	1428	5.72926	5.72926	7.46935
k141_2101	6505	4.75578	4.75578	4.32621
k141_2102	397	1.53036	1.53036	0.250091
k141_4188	2617	4.49007	4.49007	4.47958
k141_6265	2517	4.63329	4.63329	2.824
k141_4189	334	1.57065	1.57065	0.246348
k141_4190	464	4.02229	4.02229	1.04423
k141_6266	746	3.15101	3.15101	0.726738
k141_4191	454	3.50329	3.50329	1.54455
k141_2103	1648	3.21162	3.21162	2.11351
k141_4192	374	3.06696	3.06696	3.08518
k141_27	3758	4.46341	4.46341	3.38603
k141_2104	522	3.38172	3.38172	0.942846
k141_2105	807	4.14764	4.14764	0.958347
k141_6267	1482	2.99324	2.99324	1.1998
k141_4193	1381	4.88546	4.88546	2.76979
k141_4194	308	2.68987	2.68987	0.470087
k141_2106	861	2.20113	2.20113	1.2116
k141_28	1840	4.27811	4.27811	2.47323
k141_29	405	4.67059	4.67059	0.702083
k141_6268	2150	4.127	4.127	1.69871
k141_6269	308	0.481013	0.481013	0.25123
k141_4195	3085	5.12777	5.12777	3.83945
k141_4196	684	3.75843	3.75843	3.08786
k141_4197	403	1.60474	1.60474	0.263787
k141_30	3165	5.49718	5.49718	6.95556
k141_31	350	4.265	4.265	1.08018
k141_4198	1079	5.48224	5.48224	3.74783
k141_6270	3223	5.55223	5.55223	4.97767
k141_4199	960	5.9358	5.9358	6.22331
k141_2107	5570	4.0428	4.0428	2.12812
k141_6271	452	3.7947	3.7947	0.615518
k141_4200	304	1.45455	1.45455	0.249554
k141_32	1742	5.82977	5.82977	2.97855
k141_2108	373	1.46188	1.46188	0.249667
k141_2109	389	1.70293	1.70293	0.276925
k141_6272	749	3.50417	3.50417	0.638363
k141_6273	453	1.76238	1.76238	0.387057
k141_33	1479	4.3386	4.3386	1.59611
k141_6274	921	4.91051	4.91051	1.19328
k141_34	423	3.44322	3.44322	1.64474
k141_4201	2061	3.12088	3.12088	1.56496
k141_6275	620	4.41702	4.41702	4.20525
k141_4202	3319	4.81256	4.81256	5.11823
k141_35	3958	4.69958	4.69958	2.93783
k141_2110	5803	4.73819	4.73819	3.60233
k141_4203	1373	5.75961	5.75961	2.84068
k141_2111	1005	4.9462	4.9462	4.5943
k141_2112	1565	6.11802	6.11802	4.47192
k141_6276	6325	4.27466	4.27466	3.26082
k141_2113	432	1.92199	1.92199	0.257237
k141_6277	408	2.46124	2.46124	0.49071
k141_2114	1192	4.76583	4.76583	2.87499
k141_4204	3618	3.77624	3.77624	2.25222
k141_2115	326	4.17045	4.17045	1.55935
k141_2116	538	2.06443	2.06443	0.809791
k141_6278	1592	4.18863	4.18863	3.56328
k141_2117	442	3.16096	3.16096	0.829675
k141_6279	719	3.70475	3.70475	1.54647
k141_36	5897	5.06595	5.06595	4.9617
k141_4205	1511	4.95077	4.95077	5.03951
k141_2118	914	4.2212	4.2212	1.95494
k141_37	327	0.774011	0.774011	0.175912
k141_4206	671	2.38964	2.38964	0.480582
k141_2119	1174	5.25098	5.25098	5.57624
k141_38	1365	5.57613	5.57613	3.19665
k141_6280	1963	4.41368	4.41368	7.97779
k141_4207	1202	4.43441	4.43441	1.94146
k141_39	511	2.65651	2.65651	0.587242
k141_40	321	1.76608	1.76608	0.180255
k141_41	576	3.32629	3.32629	0.709754
k141_4208	822	3.66964	3.66964	1.22304
k141_4209	391	2.14108	2.14108	0.821682
k141_6281	1645	5.25351	5.25351	2.50128
k141_42	824	4.38427	4.38427	2.73325
k141_6282	360	2.07143	2.07143	0.171907
k141_2120	2238	5.69157	5.69157	3.13623
k141_2121	524	3.29679	3.29679	1.06718
k141_4210	1112	5.26299	5.26299	6.33344
k141_4211	310	1.73125	1.73125	0.19776
k141_4212	366	1.82407	1.82407	0.638673
k141_2122	2217	5.11853	5.11853	3.81995
k141_6283	2794	4.26362	4.26362	2.86389
k141_6284	522	3.79839	3.79839	0.700484
k141_43	3323	5.53356	5.53356	7.09583
k141_6285	372	2.94144	2.94144	0.227325
k141_6286	320	5.24706	5.24706	1.40606
k141_6287	403	2.20949	2.20949	0.54721
k141_2123	1775	3.92738	3.92738	2.30262
k141_2124	554	1.75	1.75	0.808313
k141_6288	1976	3.22782	3.22782	1.59301
k141_44	2763	5.43398	5.43398	4.28097
k141_45	353	3.33498	3.33498	0.273375
k141_4213	5453	5.26966	5.26966	3.68537
k141_46	624	3.81224	3.81224	2.15706
k141_4214	769	2.32633	2.32633	0.786542
k141_4215	392	2.28512	2.28512	0.279363
k141_47	976	4.97821	4.97821	1.4056
k141_48	414	6.86742	6.86742	2.21429
k141_4216	958	3.95792	3.95792	1.12834
k141_4217	451	6.30897	6.30897	5.20088
k141_4218	822	2.72917	2.72917	1.08004
k141_6289	3571	5.07132	5.07132	3.81118
k141_49	1685	4.75896	4.75896	2.52074
k141_6290	391	2.06224	2.06224	0.450278
k141_6291	346	2.44898	2.44898	0.433282
k141_50	484	1.50898	1.50898	0.25067
k141_6292	375	2.55556	2.55556	0.248016
k141_2125	6071	6.62033	6.62033	12.0902
k141_4219	1476	5.42383	5.42383	3.18177
k141_2126	363	3.38028	3.38028	2.18017
k141_51	1166	3.86319	3.86319	3.80294
k141_4220	550	1.4625	1.4625	0.665259
k141_4221	387	1.44304	1.44304	0.247801
k141_2127	669	2.32177	2.32177	1.97155
k141_52	662	3.80078	3.80078	1.43185
k141_4222	304	1.79221	1.79221	0.16569
k141_53	549	1.13534	1.13534	0.398722
k141_4223	466	1.67722	1.67722	0.562145
k141_54	344	2.26289	2.26289	0.205144
k141_2128	900	3.424	3.424	1.58234
k141_2129	340	1.53158	1.53158	0.25032
k141_6293	2770	4.49389	4.49389	4.68004
k141_6294	622	7.24153	7.24153	5.98825
k141_4224	1461	4.76583	4.76583	2.72298
k141_2130	1115	4.26736	4.26736	3.36206
k141_6295	324	1.64368	1.64368	0.230682
k141_4225	326	1.55682	1.55682	0.248182
k141_4226	348	1.5303	1.5303	0.250346
k141_4227	486	4.05952	4.05952	0.772564
k141_6296	1761	4.75109	4.75109	3.05538
k141_6297	388	3.92437	3.92437	1.3951
k141_6298	499	2.83095	2.83095	0.65812
k141_4228	2942	4.61318	4.61318	3.57303
k141_6299	1307	5.31806	5.31806	3.01814
k141_6300	366	1.91204	1.91204	0.303854
k141_55	5253	4.73819	4.73819	2.619
k141_4229	1051	4.30078	4.30078	1.58832
k141_56	535	2.84156	2.84156	1.29515
k141_4230	355	2.77073	2.77073	0.32463
k141_4231	470	1.69062	1.69062	0.571698
k141_6301	1528	3.06604	3.06604	2.1518
k141_57	1024	5.00229	5.00229	2.03437
k141_6302	1048	4.21047	4.21047	3.76058
k141_6303	427	3.93863	3.93863	1.11578
k141_4232	1556	5.42816	5.42816	3.58733
k141_58	1405	4.17052	4.17052	3.74283
k141_6304	821	6.14456	6.14456	1.48801
k141_59	424	2.85766	2.85766	1.70495
k141_60	341	2.12042	2.12042	0.34858
k141_6305	727	4.19931	4.19931	4.51054
k141_4234	806	4.06098	4.06098	1.10162
k141_6306	710	5.94286	5.94286	2.90907
k141_61	904	5.45225	5.45225	4.56677
k141_6307	904	5.82891	5.82891	3.11677
k141_2131	9566	5.21187	5.21187	4.9581
k141_2132	510	3.4	3.4	0.435657
k141_6308	1094	3.43432	3.43432	1.5609
k141_6309	386	0.961864	0.961864	0.241092
k141_6310	892	4.66442	4.66442	3.01408
k141_62	3395	13.5723	13.5723	50.1578
k141_2133	1755	4.63178	4.63178	2.07692
k141_4235	4007	4.04952	4.04952	3.24212
k141_63	662	3.90234	3.90234	1.91998
k141_64	344	4.06701	4.06701	1.48253
k141_4236	408	3.77519	3.77519	0.579615
k141_2134	791	4.28705	4.28705	2.17685
k141_65	458	6.02273	6.02273	1.96364
k141_6311	2593	5.04503	5.04503	3.12249
k141_4237	1109	3.8707	3.8707	1.61373
k141_66	1533	4.718	4.718	3.18383
k141_2135	2129	4.47398	4.47398	2.09172
k141_2136	746	3.13758	3.13758	2.26002
k141_67	1812	18.6835	18.6835	16.9942
k141_4238	1971	4.57331	4.57331	2.22829
k141_6312	2859	5.13178	5.13178	3.20383
k141_2137	1965	4.30193	4.30193	5.9132
k141_6313	2109	5.51353	5.51353	3.99966
k141_6314	324	2.4023	2.4023	0.241845
k141_2138	438	2.92708	2.92708	0.855291
k141_4239	2740	5.15212	5.15212	4.28737
k141_4240	309	1.42767	1.42767	0.271634
k141_4241	337	3.47594	3.47594	2.12173
k141_6315	1429	4.89679	4.89679	5.21468
k141_2139	1146	4.0743	4.0743	4.35229
k141_4242	384	1.81197	1.81197	0.196252
k141_6316	603	1.83002	1.83002	0.32281
k141_6317	827	2.2452	2.2452	0.788899
k141_2140	1431	4.25605	4.25605	5.50468
k141_2141	511	2.1662	2.1662	0.494523
k141_6318	897	2.88889	2.88889	1.16591
k141_4243	1781	4.34212	4.34212	2.94545
k141_6319	478	3.96646	3.96646	0.472876
k141_4244	343	1.94819	1.94819	0.372302
k141_6320	550	2.2375	2.2375	1.75047
k141_6321	479	2.21581	2.21581	0.395358
k141_4245	866	2.25838	2.25838	1.07301
k141_4246	455	3.61311	3.61311	0.645881
k141_68	7921	4.44357	4.44357	3.34132
k141_69	340	4.52632	4.52632	1.35116
k141_6322	1191	3.90778	3.90778	1.59535
k141_4247	584	3.18203	3.18203	0.689655
k141_2142	2130	4.69798	4.69798	4.31706
k141_2143	488	2.58284	2.58284	1.43674
k141_6323	1115	4.93679	4.93679	2.84558
k141_2144	496	2.57803	2.57803	0.696791
k141_4248	1095	5.73122	5.73122	7.54208
k141_70	1426	3.97022	3.97022	2.05402
k141_6324	552	1.92289	1.92289	0.595035
k141_2145	468	2.57547	2.57547	1.39334
k141_4249	392	2.15702	2.15702	0.323789
k141_6325	349	4.53769	4.53769	3.36095
k141_4250	1114	3.83402	3.83402	1.08146
k141_71	1818	4.81715	4.81715	3.3433
k141_4251	545	2.33924	2.33924	0.539444
k141_4252	642	3.11382	3.11382	2.25993
k141_6326	3391	4.98766	4.98766	3.0486
k141_6327	448	1.8255	1.8255	0.326351
k141_2146	3350	5.21375	5.21375	3.49106
k141_72	2568	4.57403	4.57403	3.84579
k141_4253	1637	4.25689	4.25689	1.87474
k141_2147	615	2.8129	2.8129	1.45415
k141_4254	1109	2.20438	2.20438	0.615806
k141_4255	388	4.21429	4.21429	1.89903
k141_73	1919	4.32391	4.32391	2.22363
k141_4256	470	1.35	1.35	0.228213
k141_2148	1999	5.15846	5.15846	5.19396
k141_4257	1233	4.76085	4.76085	3.0287
k141_6328	4756	4.55884	4.55884	3.64026
k141_74	2960	3.93808	3.93808	2.54512
k141_75	322	2.22093	2.22093	0.173127
k141_76	316	2.93976	2.93976	0.432712
k141_4258	1647	4.66132	4.66132	2.84579
k141_77	315	3.52121	3.52121	0.751071
k141_2149	2619	5.02633	5.02633	4.43497
k141_2150	317	7.08383	7.08383	2.10136
k141_2151	205	0	0	0
k141_6329	1990	4.68696	4.68696	2.26299
k141_2152	310	2.25625	2.25625	0.342727
k141_4259	1071	4.37568	4.37568	5.45656
k141_4260	379	3.06987	3.06987	1.36352
k141_2153	537	3.3385	3.3385	1.25559
k141_4261	414	2.7197	2.7197	0.514288
k141_2154	377	1.29956	1.29956	0.281548
k141_4262	724	3.87631	3.87631	1.87123
k141_4263	305	4.31613	4.31613	0.67214
k141_4264	393	1.67901	1.67901	0.375881
k141_4265	559	1.66015	1.66015	0.362157
k141_2155	1483	5.03226	5.03226	4.97867
k141_4266	301	2.11921	2.11921	0.225695
k141_6330	2809	4.88041	4.88041	5.66227
k141_4267	331	1.85083	1.85083	0.127624
k141_2156	437	2.43206	2.43206	1.37911
k141_4268	347	1.52792	1.52792	0.250492
k141_6331	633	2.56729	2.56729	1.61529
k141_4269	1436	4.03033	4.03033	2.90882
k141_4270	320	2.39412	2.39412	0.240201
k141_4271	355	2.08293	2.08293	0.154854
k141_2157	2765	4.52772	4.52772	2.65405
k141_2158	503	2.57507	2.57507	1.25075
k141_4272	694	3.58824	3.58824	1.04193
k141_4273	352	2.74257	2.74257	0.440866
k141_78	8054	4.95939	4.95939	4.63671
k141_6332	4348	4.79466	4.79466	3.44028
k141_4274	1061	3.72558	3.72558	0.920217
k141_79	1018	6.5023	6.5023	3.18223
k141_4275	1290	4.93684	4.93684	4.40338
k141_4276	372	1.63964	1.63964	0.249643
k141_2159	3569	5.27201	5.27201	2.23439
k141_80	1449	4.82756	4.82756	4.55268
k141_2160	470	0.709375	0.709375	0.677027
k141_81	319	2.27811	2.27811	0.201958
k141_2161	417	2.07865	2.07865	0.18552
k141_4277	902	4.82447	4.82447	3.38591
k141_82	452	3.70861	3.70861	0.506173
k141_2162	500	2.49429	2.49429	0.840944
k141_6333	3786	4.27585	4.27585	3.31404
k141_2163	1070	3.88043	3.88043	3.68754
k141_6334	331	7.05525	7.05525	2.1636
k141_2164	332	4.85165	4.85165	0.613228
k141_6335	301	3.2649	3.2649	0.342693
k141_6336	301	1.68212	1.68212	0.231611
k141_2165	1329	4.2324	4.2324	1.70655
k141_83	1861	4.65167	4.65167	5.50316
k141_4278	3362	4.8325	4.8325	6.0213
k141_84	688	3.55762	3.55762	1.25645
k141_6337	2254	3.60694	3.60694	1.96099
k141_6338	301	1.84106	1.84106	0.147904
k141_6339	308	2.64557	2.64557	0.395872
k141_85	616	1.80687	1.80687	0.47875
k141_6340	341	1.58639	1.58639	0.243813
k141_6341	739	3.6893	3.6893	1.28596
k141_86	1224	4.02421	4.02421	0.936973
k141_87	2913	4.61165	4.61165	2.44689
k141_88	838	5.19186	5.19186	1.52936
k141_6342	4139	5.12133	5.12133	4.31986
k141_89	524	5.47326	5.47326	1.22046
k141_6343	927	3.34106	3.34106	2.67864
k141_4279	6585	4.94079	4.94079	3.58821
k141_6344	573	2.92199	2.92199	1.55551
k141_6345	999	5.74794	5.74794	2.88919
k141_6346	446	2.91216	2.91216	4.65667
k141_6347	562	4.10437	4.10437	1.40757
k141_4280	2046	4.33914	4.33914	2.38782
k141_4281	420	2.6	2.6	3.32639
k141_4282	327	1.62712	1.62712	0.235169
k141_4283	314	2.14024	2.14024	0.403524
k141_4284	437	1.83972	1.83972	0.855341
k141_4285	320	2.15294	2.15294	0.473513
k141_4286	316	2.74699	2.74699	1.46287
k141_4287	305	3.16774	3.16774	0.504148
k141_90	4331	5.06553	5.06553	4.87651
k141_91	1876	4.91773	4.91773	2.9637
k141_92	430	1.35	1.35	0.414695
k141_93	1042	3.99776	3.99776	2.29854
k141_94	713	5.0302	5.0302	1.37809
k141_6348	5174	4.38077	4.38077	3.08195
k141_95	935	2.89554	2.89554	1.45847
k141_4288	5024	4.98092	4.98092	4.06061
k141_2166	15295	7.16329	7.16329	8.26148
k141_4289	399	2.95582	2.95582	0.784333
k141_2167	334	2.45109	2.45109	0.380108
k141_96	1312	5.07917	5.07917	4.64661
k141_97	403	2.37549	2.37549	0.695747
k141_98	574	1.99057	1.99057	0.491636
k141_2168	1918	5.30939	5.30939	2.74352
k141_2169	343	1.56477	1.56477	0.247085
k141_99	969	2.72283	2.72283	1.19814
k141_2170	327	1.66667	1.66667	0.223485
k141_2171	557	2.76167	2.76167	0.531726
k141_2172	314	2.85976	2.85976	0.391254
k141_6349	4528	5.48652	5.48652	3.84322
k141_2173	302	2.48684	2.48684	0.251481
k141_100	1796	4.13548	4.13548	2.89288
k141_101	672	4.37356	4.37356	4.86786
k141_2174	2282	4.22936	4.22936	4.81316
k141_4290	5954	4.74104	4.74104	3.42852
k141_2175	967	4.86291	4.86291	3.90031
k141_4291	1047	2.0825	2.0825	1.07131
k141_102	3215	4.84111	4.84111	5.04355
k141_103	234	1	1	0
k141_2176	2087	3.15953	3.15953	1.5515
k141_4292	1930	3.83483	3.83483	2.99574
k141_4293	457	1.87296	1.87296	0.333482
k141_6350	5994	5.26762	5.26762	4.20701
k141_6351	1042	4.14686	4.14686	2.96943
k141_4294	1601	4.05445	4.05445	3.8515
k141_2177	2198	4.2373	4.2373	3.13657
k141_6352	527	2.07958	2.07958	2.40854
k141_4295	355	3.02927	3.02927	2.43051
k141_6353	306	2.73077	2.73077	0.198015
k141_104	2828	5.20239	5.20239	5.36947
k141_4296	1299	5.82855	5.82855	4.83383
k141_105	1229	3.99166	3.99166	1.90068
k141_4297	536	2.8342	2.8342	1.06855
k141_106	468	2.16667	2.16667	0.208728
k141_6354	1929	3.77684	3.77684	2.2477
k141_4298	611	3.84165	3.84165	3.45096
k141_4299	311	1.29193	1.29193	0.207997
k141_6355	684	4.33708	4.33708	1.96496
k141_107	1264	4.18402	4.18402	2.15747
k141_4300	823	3.46508	3.46508	1.05272
k141_6356	1661	4.81006	4.81006	3.5805
k141_108	1486	3.74252	3.74252	5.57705
k141_6357	378	3.58333	3.58333	1.27496
k141_109	869	4.60779	4.60779	1.35848
k141_110	347	1.6802	1.6802	0.218636
k141_111	632	2.54979	2.54979	0.605626
k141_4301	3121	4.66173	4.66173	3.22459
k141_4302	310	3.05	3.05	1.06667
k141_2178	6662	5.08523	5.08523	5.28298
k141_6358	2025	5.14987	5.14987	4.21502
k141_112	1018	3.96544	3.96544	2.02189
k141_2179	408	2.58527	2.58527	0.516045
k141_2180	328	1.58427	1.58427	0.244271
k141_113	784	3.76972	3.76972	0.771532
k141_4303	2666	4.70548	4.70548	2.66115
k141_114	1704	6.8565	6.8565	6.35608
k141_115	482	2.68373	2.68373	2.519
k141_6359	3967	5.03851	5.03851	6.08217
k141_6360	1117	5.10858	5.10858	2.99754
k141_6361	487	3.56973	3.56973	0.692297
k141_6362	697	1.82084	1.82084	0.425718
k141_116	3333	4.41125	4.41125	3.12278
k141_6363	489	3.30088	3.30088	0.577839
k141_2181	6657	4.86691	4.86691	4.72377
k141_117	1580	4.52657	4.52657	3.38874
k141_2182	394	1.86066	1.86066	0.449639
k141_4304	5251	4.18761	4.18761	2.2603
k141_6364	1608	4.82442	4.82442	3.58481
k141_2183	396	2.95528	2.95528	1.18575
k141_4305	364	1.41589	1.41589	0.244065
k141_2184	325	5.10857	5.10857	1.02837
k141_118	715	4.53805	4.53805	1.75962
k141_2185	333	2.42076	2.42076	0.343963
k141_4306	593	1.94582	1.94582	0.399773
k141_2186	494	2.71221	2.71221	0.771164
k141_4307	397	5.06478	5.06478	2.89823
k141_6365	1044	4.13087	4.13087	1.82944
k141_2187	336	2.44086	2.44086	0.539727
k141_4308	371	1.61086	1.61086	0.238791
k141_2188	347	1.53807	1.53807	0.249819
k141_4309	336	3.19892	3.19892	1.68454
k141_4310	313	4.6135	4.6135	0.7571
k141_119	1451	5.46195	5.46195	4.14104
k141_4311	337	1.62032	1.62032	0.23679
k141_120	1582	3.96997	3.96997	3.41006
k141_4312	1854	3.19894	3.19894	2.16416
k141_4313	575	3.72	3.72	0.96151
k141_121	933	5.98723	5.98723	3.62644
k141_122	496	3.59249	3.59249	0.984178
k141_2189	3335	5.70079	5.70079	4.50246
k141_123	698	2.64599	2.64599	0.810458
k141_2190	522	2.39247	2.39247	0.729648
k141_4314	1223	5.38304	5.38304	1.97908
k141_124	414	2	2	0.494297
k141_125	473	2.26006	2.26006	0.57191
k141_126	456	2.33987	2.33987	0.3628
k141_2191	2079	4.89476	4.89476	5.7986
k141_127	1274	4.22509	4.22509	3.37849
k141_2192	371	3.24434	3.24434	0.321843
k141_128	426	1.99638	1.99638	0.469079
k141_6366	6452	5.37924	5.37924	5.20993
k141_2193	379	2.37555	2.37555	0.753084
k141_4315	2629	3.77975	3.77975	3.39132
k141_6367	459	0.980583	0.980583	0.298323
k141_4316	955	4.29814	4.29814	1.69458
k141_129	1819	4.94907	4.94907	5.28221
k141_6368	1431	3.94067	3.94067	3.5558
k141_2194	1445	4.13514	4.13514	3.81406
k141_130	451	4.74086	4.74086	1.37929
k141_6369	333	6.06557	6.06557	2.20447
k141_131	410	1.74615	1.74615	0.282804
k141_6370	314	2.64634	2.64634	0.266796
k141_2195	665	1.59417	1.59417	0.241601
k141_132	509	4.19499	4.19499	1.96746
k141_2196	338	4.59043	4.59043	0.478409
k141_6371	1200	3.53048	3.53048	2.43809
k141_133	1077	6.75512	6.75512	4.09226
k141_6372	744	4.71549	4.71549	3.32365
k141_134	1272	4.34403	4.34403	3.10012
k141_4317	3960	4.91654	4.91654	4.25657
k141_135	566	3.00721	3.00721	1.13971
k141_4318	418	2.16791	2.16791	0.702037
k141_2197	2979	5.72605	5.72605	4.68845
k141_136	887	4.86974	4.86974	1.29279
k141_137	367	1.64055	1.64055	1.06465
k141_6373	2269	5.00378	5.00378	3.60619
k141_6374	714	2.12943	2.12943	0.350892
k141_138	2729	4.06165	4.06165	2.46594
k141_2198	2864	4.38283	4.38283	1.47704
k141_139	544	3.59391	3.59391	0.862662
k141_140	579	1.67832	1.67832	0.274787
k141_6375	2951	5.65512	5.65512	3.94172
k141_4319	3945	4.89433	4.89433	4.07711
k141_141	606	4.26096	4.26096	0.879003
k141_2199	1655	4.94485	4.94485	4.75023
k141_2200	609	6.18301	6.18301	2.26774
k141_2201	323	2.3237	2.3237	0.39461
k141_2202	660	4.96078	4.96078	1.42478
k141_2203	800	3.10154	3.10154	4.01741
k141_6376	2538	4.36893	4.36893	2.84204
k141_142	2635	5.02495	5.02495	2.93819
k141_2204	375	3.31556	3.31556	0.333016
k141_4320	3101	5.50559	5.50559	7.44187
k141_2205	1026	4.31393	4.31393	3.08421
k141_6377	1631	4.40378	4.40378	3.84902
k141_2206	1605	3.95945	3.95945	2.2838
k141_4321	3291	5.08628	5.08628	6.22661
k141_2207	1454	5.2339	5.2339	3.33204
k141_4322	1215	5.51455	5.51455	3.79889
k141_4323	695	2.57064	2.57064	1.56532
k141_4324	427	1.83032	1.83032	0.626904
k141_2208	1762	4.47767	4.47767	3.46256
k141_4325	326	1.68182	1.68182	0.218182
k141_2209	354	1.48039	1.48039	0.250845
k141_143	6721	4.22462	4.22462	3.55217
k141_144	399	1.95582	1.95582	0.558525
k141_2210	1798	4.8216	4.8216	5.21044
k141_145	1082	4.1191	4.1191	1.57872
k141_2211	472	1.73292	1.73292	0.196358
k141_4326	2483	3.88041	3.88041	2.13963
k141_2212	323	3.06936	3.06936	0.355626
k141_146	693	5	5	3.74539
k141_2213	477	0.892966	0.892966	0.562131
k141_2214	733	3.90738	3.90738	1.43128
k141_4327	1185	7.27633	7.27633	6.6373
k141_2215	387	1.73418	1.73418	0.331582
k141_147	1304	4.36568	4.36568	2.64152
k141_4328	639	2.0818	2.0818	0.329362
k141_2216	651	4.46507	4.46507	4.92928
k141_2217	912	4.55512	4.55512	1.52982
k141_148	1999	3.61168	3.61168	1.62185
k141_149	305	1.86452	1.86452	0.689317
k141_4329	1814	3.96154	3.96154	1.96363
k141_150	359	1.08612	1.08612	0.223316
k141_4330	640	3.94286	3.94286	1.00286
k141_4331	397	2.2915	2.2915	0.288667
k141_6378	11165	11.071	11.071	12.3883
k141_2218	2861	4.83991	4.83991	4.23633
k141_6379	1326	4.50765	4.50765	2.53441
k141_151	2535	5.66415	5.66415	3.1426
k141_2219	1332	4.28765	4.28765	2.60474
k141_152	528	5.57407	5.57407	3.17354
k141_4332	2513	4.13034	4.13034	4.23616
k141_2220	357	1.6715	1.6715	0.221659
k141_2221	305	1.80645	1.80645	0.1571
k141_4333	486	2.5	2.5	0.746269
k141_153	595	2.15955	2.15955	0.584848
k141_6380	2457	4.17945	4.17945	3.68332
k141_6381	611	3.98915	3.98915	2.48032
k141_2222	2127	4.4436	4.4436	2.65584
k141_6382	596	4.28027	4.28027	4.01339
k141_4334	2430	5.39868	5.39868	5.19381
k141_6383	463	2.73163	2.73163	0.671336
k141_4335	606	2.22807	2.22807	0.664353
k141_6384	343	1.99482	1.99482	0.494766
k141_4336	324	1.74138	1.74138	0.192844
k141_154	3457	4.30209	4.30209	2.6622
k141_6385	404	2.47638	2.47638	0.716828
k141_155	723	5.97382	5.97382	3.92763
